"","fecha","ipc"
"1",1943-01-01,2.34957282628997e-14
"2",1943-02-01,2.33597147761328e-14
"3",1943-03-01,2.37282230941128e-14
"4",1943-04-01,2.38856641478767e-14
"5",1943-05-01,2.36781490471734e-14
"6",1943-06-01,2.37031287776832e-14
"7",1943-07-01,2.23652235784498e-14
"8",1943-08-01,2.25978329955827e-14
"9",1943-09-01,2.23903178948794e-14
"10",1943-10-01,2.26228127260926e-14
"11",1943-11-01,2.26228127260926e-14
"12",1943-12-01,2.25513111121562e-14
"13",1944-01-01,2.27086375800002e-14
"14",1944-02-01,2.27551594634268e-14
"15",1944-03-01,2.29018294407322e-14
"16",1944-04-01,2.26442402930895e-14
"17",1944-05-01,2.25513111121562e-14
"18",1944-06-01,2.29626745641301e-14
"19",1944-07-01,2.29412469971331e-14
"20",1944-08-01,2.32667855951994e-14
"21",1944-09-01,2.32202637117728e-14
"22",1944-10-01,2.33775901796169e-14
"23",1944-11-01,2.33775901796169e-14
"24",1944-12-01,2.34241120630435e-14
"25",1945-01-01,2.524854907762e-14
"26",1945-02-01,2.57315287294502e-14
"27",1945-03-01,2.76488949249599e-14
"28",1945-04-01,2.76739892413896e-14
"29",1945-05-01,2.77705851717556e-14
"30",1945-06-01,2.77849084117269e-14
"31",1945-07-01,2.81104470097932e-14
"32",1945-08-01,2.78564100256632e-14
"33",1945-09-01,2.801740324294e-14
"34",1945-10-01,2.8038830809937e-14
"35",1945-11-01,2.80889048568764e-14
"36",1945-12-01,2.87077834095537e-14
"37",1946-01-01,3.07216309495099e-14
"38",1946-02-01,3.07686111766155e-14
"39",1946-03-01,3.1669256506007e-14
"40",1946-04-01,3.22169772025071e-14
"41",1946-05-01,3.21310377626796e-14
"42",1946-06-01,3.26787584591799e-14
"43",1946-07-01,3.27498017294371e-14
"44",1946-08-01,3.25217757490951e-14
"45",1946-09-01,3.2567610117003e-14
"46",1946-10-01,3.33731491329854e-14
"47",1946-11-01,3.35152356735002e-14
"48",1946-12-01,3.40881652723497e-14
"49",1947-01-01,3.37948253177387e-14
"50",1947-02-01,3.40239971572786e-14
"51",1947-03-01,3.61025857419047e-14
"52",1947-04-01,3.61232112074633e-14
"53",1947-05-01,3.61633162793827e-14
"54",1947-06-01,3.78511668775934e-14
"55",1947-07-01,3.74363658480264e-14
"56",1947-08-01,3.77801236073362e-14
"57",1947-09-01,3.7825957975244e-14
"58",1947-10-01,3.76185574604605e-14
"59",1947-11-01,3.79691903749565e-14
"60",1947-12-01,3.91711966733427e-14
"61",1948-01-01,3.8542119973806e-14
"62",1948-02-01,3.84309716316291e-14
"63",1948-03-01,3.91253623054349e-14
"64",1948-04-01,3.93533882857769e-14
"65",1948-05-01,4.03273686038212e-14
"66",1948-06-01,4.14789570975088e-14
"67",1948-07-01,4.13861425024951e-14
"68",1948-08-01,4.22375158863856e-14
"69",1948-09-01,4.39689091341088e-14
"70",1948-10-01,4.41041205194373e-14
"71",1948-11-01,4.42015185512417e-14
"72",1948-12-01,4.65551133433156e-14
"73",1949-01-01,4.68094940852048e-14
"74",1949-02-01,4.6690324728644e-14
"75",1949-03-01,4.98746674390497e-14
"76",1949-04-01,5.23004513605788e-14
"77",1949-05-01,5.38210065159254e-14
"78",1949-06-01,5.44500832154621e-14
"79",1949-07-01,5.54584393094375e-14
"80",1949-08-01,5.64072107251323e-14
"81",1949-09-01,5.72906681665583e-14
"82",1949-10-01,5.88570576898129e-14
"83",1949-11-01,6.07500170844117e-14
"84",1949-12-01,6.22235920126528e-14
"85",1950-01-01,6.11178378868732e-14
"86",1950-02-01,6.27105821716749e-14
"87",1950-03-01,6.27312076372333e-14
"88",1950-04-01,6.40947800824953e-14
"89",1950-05-01,6.71427655483748e-14
"90",1950-06-01,6.90597879861253e-14
"91",1950-07-01,6.90815593108816e-14
"92",1950-08-01,6.92167706962102e-14
"93",1950-09-01,7.19611034746995e-14
"94",1950-10-01,7.46905400836186e-14
"95",1950-11-01,7.45255363591499e-14
"96",1950-12-01,7.59819233994254e-14
"97",1951-01-01,7.52416983577119e-14
"98",1951-02-01,7.74589359052595e-14
"99",1951-03-01,7.76915453223924e-14
"100",1951-04-01,8.47099329082994e-14
"101",1951-05-01,9.10282005244121e-14
"102",1951-06-01,9.40509770879421e-14
"103",1951-07-01,9.47659932273064e-14
"104",1951-08-01,1.03544420540879e-13
"105",1951-09-01,1.0157698029843e-13
"106",1951-10-01,1.04671945991415e-13
"107",1951-11-01,1.05015703750724e-13
"108",1951-12-01,1.14133305386816e-13
"109",1952-01-01,1.18590697665866e-13
"110",1952-02-01,1.19463842374512e-13
"111",1952-03-01,1.22951837772308e-13
"112",1952-04-01,1.30635969552078e-13
"113",1952-05-01,1.32689349234355e-13
"114",1952-06-01,1.3543597373124e-13
"115",1952-07-01,1.29895744510365e-13
"116",1952-08-01,1.29361774124237e-13
"117",1952-09-01,1.33709163920307e-13
"118",1952-10-01,1.35068152928778e-13
"119",1952-11-01,1.35411910688088e-13
"120",1952-12-01,1.35897754987912e-13
"121",1953-01-01,1.34152611429817e-13
"122",1953-02-01,1.41943308114973e-13
"123",1953-03-01,1.41274126343516e-13
"124",1953-04-01,1.35346596713819e-13
"125",1953-05-01,1.33151130491028e-13
"126",1953-06-01,1.32921958651488e-13
"127",1953-07-01,1.33962398802998e-13
"128",1953-08-01,1.34073547145175e-13
"129",1953-09-01,1.33151130491028e-13
"130",1953-10-01,1.32578200892178e-13
"131",1953-11-01,1.33525826448675e-13
"132",1953-12-01,1.34931795684252e-13
"133",1954-01-01,1.32274548204788e-13
"134",1954-02-01,1.31973187235793e-13
"135",1954-03-01,1.32180587750576e-13
"136",1954-04-01,1.34911170218694e-13
"137",1954-05-01,1.34656789476804e-13
"138",1954-06-01,1.36777774851745e-13
"139",1954-07-01,1.39825760317624e-13
"140",1954-08-01,1.40813490946041e-13
"141",1954-09-01,1.44236172369568e-13
"142",1954-10-01,1.48411683285984e-13
"143",1954-11-01,1.49932238441331e-13
"144",1954-12-01,1.5653582499767e-13
"145",1955-01-01,1.53115435292539e-13
"146",1955-02-01,1.53322835807322e-13
"147",1955-03-01,1.53537111477292e-13
"148",1955-04-01,1.55748619728851e-13
"149",1955-05-01,1.55956020243634e-13
"150",1955-06-01,1.56878436897782e-13
"151",1955-07-01,1.57569389993995e-13
"152",1955-08-01,1.58105652098518e-13
"153",1955-09-01,1.59186197321948e-13
"154",1955-10-01,1.59049840077422e-13
"155",1955-11-01,1.59122029206877e-13
"156",1955-12-01,1.68232755687782e-13
"157",1956-01-01,1.66044164620177e-13
"158",1956-02-01,1.64769969192336e-13
"159",1956-03-01,1.64516734309644e-13
"160",1956-04-01,1.70311344272409e-13
"161",1956-05-01,1.76843887558491e-13
"162",1956-06-01,1.8370185485672e-13
"163",1956-07-01,1.82753083441025e-13
"164",1956-08-01,1.81881084591576e-13
"165",1956-09-01,1.82889440685551e-13
"166",1956-10-01,1.85221264152869e-13
"167",1956-11-01,1.88087058006314e-13
"168",1956-12-01,1.96282242988258e-13
"169",1957-01-01,1.94107402231025e-13
"170",1957-02-01,1.9558899817365e-13
"171",1957-03-01,2.02718534101734e-13
"172",1957-04-01,2.08145323262037e-13
"173",1957-05-01,2.13976600719127e-13
"174",1957-06-01,2.2219699460342e-13
"175",1957-07-01,2.2628542022081e-13
"176",1957-08-01,2.38445278026793e-13
"177",1957-09-01,2.37919328655049e-13
"178",1957-10-01,2.404333437348e-13
"179",1957-11-01,2.46483480298652e-13
"180",1957-12-01,2.46593482781631e-13
"181",1958-01-01,2.40062085354747e-13
"182",1958-02-01,2.43385077028074e-13
"183",1958-03-01,2.474058969528e-13
"184",1958-04-01,2.58091033971344e-13
"185",1958-05-01,2.74750680846691e-13
"186",1958-06-01,2.86870433580754e-13
"187",1958-07-01,2.97277126814257e-13
"188",1958-08-01,3.11085876005728e-13
"189",1958-09-01,3.17034031100984e-13
"190",1958-10-01,3.26456431283663e-13
"191",1958-11-01,3.43045034888753e-13
"192",1958-12-01,3.71738495058335e-13
"193",1959-01-01,4.37750297578581e-13
"194",1959-02-01,4.77494423850773e-13
"195",1959-03-01,5.1253021467962e-13
"196",1959-04-01,5.54906379528928e-13
"197",1959-05-01,6.12794040337487e-13
"198",1959-06-01,6.51518351923727e-13
"199",1959-07-01,6.71444843371713e-13
"200",1959-08-01,6.96825624600748e-13
"201",1959-09-01,7.09177986751944e-13
"202",1959-10-01,7.13559752323945e-13
"203",1959-11-01,7.28494881106755e-13
"204",1959-12-01,7.49500771918973e-13
"205",1960-01-01,7.70038006319336e-13
"206",1960-02-01,7.76384920415391e-13
"207",1960-03-01,7.8193317065065e-13
"208",1960-04-01,7.81142527804236e-13
"209",1960-05-01,7.79557804533819e-13
"210",1960-06-01,7.75594277568977e-13
"211",1960-07-01,7.82727251074655e-13
"212",1960-08-01,7.86694215617089e-13
"213",1960-09-01,7.87488296041093e-13
"214",1960-10-01,7.93830626700359e-13
"215",1960-11-01,8.13656282538949e-13
"216",1960-12-01,8.88203590222853e-13
"217",1961-01-01,8.34276018801542e-13
"218",1961-02-01,8.4458531400324e-13
"219",1961-03-01,8.54105112217724e-13
"220",1961-04-01,8.7313554177311e-13
"221",1961-05-01,8.79479018291575e-13
"222",1961-06-01,8.9137303676369e-13
"223",1961-07-01,9.04856361943015e-13
"224",1961-08-01,9.11992773026286e-13
"225",1961-09-01,9.21511425381572e-13
"226",1961-10-01,9.22302068227984e-13
"227",1961-11-01,9.51646376421858e-13
"228",1961-12-01,1.03412188389464e-12
"229",1962-01-01,9.92882411369453e-13
"230",1962-02-01,1.00715981697279e-12
"231",1962-03-01,1.02301736240974e-12
"232",1962-04-01,1.05632634342766e-12
"233",1962-05-01,1.0928070627048e-12
"234",1962-06-01,1.10866575400096e-12
"235",1962-07-01,1.15862979845743e-12
"236",1962-08-01,1.17369670104797e-12
"237",1962-09-01,1.21710070159762e-12
"238",1962-10-01,1.23793471353018e-12
"239",1962-11-01,1.23158779943413e-12
"240",1962-12-01,1.35133810660806e-12
"241",1963-01-01,1.29582581191633e-12
"242",1963-02-01,1.30771983038845e-12
"243",1963-03-01,1.36957560159864e-12
"244",1963-04-01,1.39098941828524e-12
"245",1963-05-01,1.39098941828524e-12
"246",1963-06-01,1.40685040129979e-12
"247",1963-07-01,1.4282607804088e-12
"248",1963-08-01,1.43460769450485e-12
"249",1963-09-01,1.45681100817867e-12
"250",1963-10-01,1.5020140076687e-12
"251",1963-11-01,1.54008059607546e-12
"252",1963-12-01,1.67331308256952e-12
"253",1964-01-01,1.66537915348466e-12
"254",1964-02-01,1.65268990872933e-12
"255",1964-03-01,1.64793230134049e-12
"256",1964-04-01,1.7113750875395e-12
"257",1964-05-01,1.71375847467071e-12
"258",1964-06-01,1.73754651161494e-12
"259",1964-07-01,1.74389342571099e-12
"260",1964-08-01,1.73516770792052e-12
"261",1964-09-01,1.7542027209127e-12
"262",1964-10-01,1.82319490320616e-12
"263",1964-11-01,1.84381463946875e-12
"264",1964-12-01,1.97625304553881e-12
"265",1965-01-01,1.90329504456211e-12
"266",1965-02-01,1.9952846209534e-12
"267",1965-03-01,2.04366279628025e-12
"268",1965-04-01,2.06507890468524e-12
"269",1965-05-01,2.10948094859609e-12
"270",1965-06-01,2.19434328077768e-12
"271",1965-07-01,2.290297529993e-12
"272",1965-08-01,2.34104763385909e-12
"273",1965-09-01,2.37593904642902e-12
"274",1965-10-01,2.43701334166638e-12
"275",1965-11-01,2.52503824523363e-12
"276",1965-12-01,2.7312241492676e-12
"277",1966-01-01,2.66937066977581e-12
"278",1966-02-01,2.72805011928998e-12
"279",1966-03-01,2.78753167024253e-12
"280",1966-04-01,2.84542047691029e-12
"281",1966-05-01,2.87476593096336e-12
"282",1966-06-01,2.899344610754e-12
"283",1966-07-01,2.94535085754162e-12
"284",1966-08-01,2.97944016867317e-12
"285",1966-09-01,3.02465577261437e-12
"286",1966-10-01,3.12140066467611e-12
"287",1966-11-01,3.19435751979361e-12
"288",1966-12-01,3.54885197978577e-12
"289",1967-01-01,3.38234717976812e-12
"290",1967-02-01,3.45453630922316e-12
"291",1967-03-01,3.53062135995038e-12
"292",1967-04-01,3.57347649394433e-12
"293",1967-05-01,3.60750851211599e-12
"294",1967-06-01,3.76460580812053e-12
"295",1967-07-01,3.95252671654318e-12
"296",1967-08-01,3.96593326915625e-12
"297",1967-09-01,3.98426701631944e-12
"298",1967-10-01,4.09839459241027e-12
"299",1967-11-01,4.19281339030067e-12
"300",1967-12-01,4.51949784756467e-12
"301",1968-01-01,4.36411934035669e-12
"302",1968-02-01,4.40685988843086e-12
"303",1968-03-01,4.37832799440815e-12
"304",1968-04-01,4.36010883316474e-12
"305",1968-05-01,4.36492144179507e-12
"306",1968-06-01,4.3800467832047e-12
"307",1968-07-01,4.37752589296977e-12
"308",1968-08-01,4.38474480591526e-12
"309",1968-09-01,4.44581910115262e-12
"310",1968-10-01,4.53301898609752e-12
"311",1968-11-01,4.54802974158739e-12
"312",1968-12-01,4.95171593693676e-12
"313",1969-01-01,4.72334619883534e-12
"314",1969-02-01,4.65986559928281e-12
"315",1969-03-01,4.71223136461766e-12
"316",1969-04-01,4.71704397324799e-12
"317",1969-05-01,4.65195917081868e-12
"318",1969-06-01,4.69790812464642e-12
"319",1969-07-01,4.76058662276056e-12
"320",1969-08-01,4.72495040171213e-12
"321",1969-09-01,4.8129523880954e-12
"322",1969-10-01,4.88594361898883e-12
"323",1969-11-01,4.92077773859889e-12
"324",1969-12-01,5.28160879995432e-12
"325",1970-01-01,5.03261359629432e-12
"326",1970-02-01,5.10079221855742e-12
"327",1970-03-01,5.16667912242512e-12
"328",1970-04-01,5.2063258506655e-12
"329",1970-05-01,5.24482671970819e-12
"330",1970-06-01,5.2832130028311e-12
"331",1970-07-01,5.34818321934065e-12
"332",1970-08-01,5.40856999905937e-12
"333",1970-09-01,5.51880165387804e-12
"334",1970-10-01,5.73766076063855e-12
"335",1970-11-01,5.88593494082081e-12
"336",1970-12-01,6.42998888788834e-12
"337",1971-01-01,6.41176972664493e-12
"338",1971-02-01,6.6258162247751e-12
"339",1971-03-01,6.69559904991499e-12
"340",1971-04-01,6.75587124371395e-12
"341",1971-05-01,6.92007286674423e-12
"342",1971-06-01,7.13572356775118e-12
"343",1971-07-01,7.44269924681478e-12
"344",1971-08-01,7.63772448226316e-12
"345",1971-09-01,7.70670520596463e-12
"346",1971-10-01,7.78599866244543e-12
"347",1971-11-01,7.99626382522321e-12
"348",1971-12-01,8.94549358459711e-12
"349",1972-01-01,9.41174369214087e-12
"350",1972-02-01,9.75183470201794e-12
"351",1972-03-01,1.01643440131896e-11
"352",1972-04-01,1.06600427021142e-11
"353",1972-05-01,1.08313486521702e-11
"354",1972-06-01,1.14268516772145e-11
"355",1972-07-01,1.19939373941557e-11
"356",1972-08-01,1.19788120527461e-11
"357",1972-09-01,1.22722665932768e-11
"358",1972-10-01,1.2866280001364e-11
"359",1972-11-01,1.34935233261845e-11
"360",1972-12-01,1.46839564466741e-11
"361",1973-01-01,1.5362763435391e-11
"362",1973-02-01,1.65253521773765e-11
"363",1973-03-01,1.79449571374059e-11
"364",1973-04-01,1.87466002321161e-11
"365",1973-05-01,1.93953857098533e-11
"366",1973-06-01,1.88260082745167e-11
"367",1973-07-01,1.88244040716399e-11
"368",1973-08-01,1.89750845561373e-11
"369",1973-09-01,1.90742013767383e-11
"370",1973-10-01,1.93699476356644e-11
"371",1973-11-01,1.95238365259154e-11
"372",1973-12-01,2.11106223428891e-11
"373",1974-01-01,1.9903001334434e-11
"374",1974-02-01,2.02145604502884e-11
"375",1974-03-01,2.04548471240459e-11
"376",1974-04-01,2.10353393936003e-11
"377",1974-05-01,2.17355739493141e-11
"378",1974-06-01,2.2568269828282e-11
"379",1974-07-01,2.30863127715618e-11
"380",1974-08-01,2.35152078692606e-11
"381",1974-09-01,2.42924441630599e-11
"382",1974-10-01,2.52107357240959e-11
"383",1974-11-01,2.62535821799218e-11
"384",1974-12-01,2.95763446814096e-11
"385",1975-01-01,3.0431728572492e-11
"386",1975-02-01,3.1836551948871e-11
"387",1975-03-01,3.4418172721287e-11
"388",1975-04-01,3.77560605641844e-11
"389",1975-05-01,3.92250520556346e-11
"390",1975-06-01,4.75176350693828e-11
"391",1975-07-01,6.40214450938425e-11
"392",1975-08-01,7.8408853180152e-11
"393",1975-09-01,8.68824819471368e-11
"394",1975-10-01,9.88670232958711e-11
"395",1975-11-01,1.07718785598097e-10
"396",1975-12-01,1.28645612125675e-10
"397",1976-01-01,1.40093891369886e-10
"398",1976-02-01,1.66691575066877e-10
"399",1976-03-01,2.29318509517119e-10
"400",1976-04-01,3.07110890448909e-10
"401",1976-05-01,3.44247041187139e-10
"402",1976-06-01,3.53651107622655e-10
"403",1976-07-01,3.68648112802141e-10
"404",1976-08-01,3.88977946687718e-10
"405",1976-09-01,4.30037519318868e-10
"406",1976-10-01,4.66418548845813e-10
"407",1976-11-01,5.03515740371322e-10
"408",1976-12-01,5.75751850053469e-10
"409",1977-01-01,6.21998727272604e-10
"410",1977-02-01,6.73343532062301e-10
"411",1977-03-01,7.24155512325069e-10
"412",1977-04-01,7.67684411527261e-10
"413",1977-05-01,8.17552203811125e-10
"414",1977-06-01,8.80072573355981e-10
"415",1977-07-01,9.44771221235663e-10
"416",1977-08-01,1.05188613903657e-09
"417",1977-09-01,1.13916165068852e-09
"418",1977-10-01,1.28148080062034e-09
"419",1977-11-01,1.39730654004216e-09
"420",1977-12-01,1.49945988751703e-09
"421",1978-01-01,1.69975607527483e-09
"422",1978-02-01,1.80520949723907e-09
"423",1978-03-01,1.97656128166299e-09
"424",1978-04-01,2.19545476419944e-09
"425",1978-05-01,2.38627469639227e-09
"426",1978-06-01,2.54117194273723e-09
"427",1978-07-01,2.70883406054456e-09
"428",1978-08-01,2.92032529266388e-09
"429",1978-09-01,3.10698575596906e-09
"430",1978-10-01,3.41013426531232e-09
"431",1978-11-01,3.71001707594214e-09
"432",1978-12-01,4.04621216454706e-09
"433",1979-01-01,4.56294882834143e-09
"434",1979-02-01,4.90258149453943e-09
"435",1979-03-01,5.28252548731249e-09
"436",1979-04-01,5.65238591914579e-09
"437",1979-05-01,6.0435593320563e-09
"438",1979-06-01,6.62948297420775e-09
"439",1979-07-01,7.10361659303168e-09
"440",1979-08-01,7.91699328592638e-09
"441",1979-09-01,8.45895031066211e-09
"442",1979-10-01,8.82611797338083e-09
"443",1979-11-01,9.27972925397396e-09
"444",1979-12-01,9.70020228656964e-09
"445",1980-01-01,1.03995659892933e-08
"446",1980-02-01,1.0955468120465e-08
"447",1980-03-01,1.159044599487e-08
"448",1980-04-01,1.23062642356726e-08
"449",1980-05-01,1.30181407208351e-08
"450",1980-06-01,1.37650804974472e-08
"451",1980-07-01,1.4394684292215e-08
"452",1980-08-01,1.48872777027138e-08
"453",1980-09-01,1.55637471386674e-08
"454",1980-10-01,1.67489093068476e-08
"455",1980-11-01,1.75323332403144e-08
"456",1980-12-01,1.82009306235799e-08
"457",1981-01-01,1.9092305952062e-08
"458",1981-02-01,1.98898239536605e-08
"459",1981-03-01,2.10815175192675e-08
"460",1981-04-01,2.27441592151289e-08
"461",1981-05-01,2.44583645748867e-08
"462",1981-06-01,2.67512288294825e-08
"463",1981-07-01,2.9490978171181e-08
"464",1981-08-01,3.18273850752894e-08
"465",1981-09-01,3.41019155827221e-08
"466",1981-10-01,3.60876895723346e-08
"467",1981-11-01,3.86887899511115e-08
"468",1981-12-01,4.20942834866731e-08
"469",1982-01-01,4.71131467725951e-08
"470",1982-02-01,4.96030988091952e-08
"471",1982-03-01,5.19417974316989e-08
"472",1982-04-01,5.41177840481295e-08
"473",1982-05-01,5.57735505888047e-08
"474",1982-06-01,6.01770874855622e-08
"475",1982-07-01,6.99615791747146e-08
"476",1982-08-01,8.02387903188775e-08
"477",1982-09-01,9.39329535905792e-08
"478",1982-10-01,1.05852180965045e-07
"479",1982-11-01,1.17860785356931e-07
"480",1982-12-01,1.30378151232596e-07
"481",1983-01-01,1.5121216316516e-07
"482",1983-02-01,1.7092323308398e-07
"483",1983-03-01,1.90169084168533e-07
"484",1983-04-01,2.09701400052512e-07
"485",1983-05-01,2.2869630797277e-07
"486",1983-06-01,2.64898583464874e-07
"487",1983-07-01,2.97880994611444e-07
"488",1983-08-01,3.49251008303492e-07
"489",1983-09-01,4.23873942694446e-07
"490",1983-10-01,4.95813274844389e-07
"491",1983-11-01,5.9118428172808e-07
"492",1983-12-01,6.95819560225169e-07
"493",1984-01-01,7.83068717115569e-07
"494",1984-02-01,9.15793587985054e-07
"495",1984-03-01,1.10144569519626e-06
"496",1984-04-01,1.30535133942681e-06
"497",1984-05-01,1.52822095337928e-06
"498",1984-06-01,1.80188650556575e-06
"499",1984-07-01,2.13135540068016e-06
"500",1984-08-01,2.61821951519052e-06
"501",1984-09-01,3.33941183563034e-06
"502",1984-10-01,3.98474827718248e-06
"503",1984-11-01,4.5814429957923e-06
"504",1984-12-01,5.48292480239809e-06
"505",1985-01-01,6.86129028990228e-06
"506",1985-02-01,8.28146817953052e-06
"507",1985-03-01,1.04742989261672e-05
"508",1985-04-01,1.35615873625278e-05
"509",1985-05-01,1.69635287345766e-05
"510",1985-06-01,2.21434998236951e-05
"511",1985-07-01,2.35136036663838e-05
"512",1985-08-01,2.42361824764529e-05
"513",1985-09-01,2.4719162128283e-05
"514",1985-10-01,2.51984750306806e-05
"515",1985-11-01,2.57959260163609e-05
"516",1985-12-01,2.66151007567959e-05
"517",1986-01-01,2.74199522572598e-05
"518",1986-02-01,2.78850565056058e-05
"519",1986-03-01,2.91799919849255e-05
"520",1986-04-01,3.05608669040727e-05
"521",1986-05-01,3.17914050964817e-05
"522",1986-06-01,3.32366773025396e-05
"523",1986-07-01,3.54868010090613e-05
"524",1986-08-01,3.86026213394445e-05
"525",1986-09-01,4.13929030717616e-05
"526",1986-10-01,4.3900615925926e-05
"527",1986-11-01,4.6225793409897e-05
"528",1986-12-01,4.84151865789406e-05
"529",1987-01-01,5.20850298314114e-05
"530",1987-02-01,5.54481265766582e-05
"531",1987-03-01,6.00269799306637e-05
"532",1987-04-01,6.20299418082416e-05
"533",1987-05-01,6.46058332846692e-05
"534",1987-06-01,6.97931378726529e-05
"535",1987-07-01,7.68401719385022e-05
"536",1987-08-01,8.73935351493107e-05
"537",1987-09-01,9.75882444312393e-05
"538",1987-10-01,0.000116692008975278
"539",1987-11-01,0.000128675404464815
"540",1987-12-01,0.000133039982148851
"541",1988-01-01,0.000145134525980565
"542",1988-02-01,0.000160259867390193
"543",1988-03-01,0.000183910401230701
"544",1988-04-01,0.000215604866639058
"545",1988-05-01,0.000249476464523042
"546",1988-06-01,0.00029430247633703
"547",1988-07-01,0.000369780221689468
"548",1988-08-01,0.000471922110572364
"549",1988-09-01,0.000527118148125528
"550",1988-10-01,0.000574510884542362
"551",1988-11-01,0.000607316833372486
"552",1988-12-01,0.000648888605065009
"553",1989-01-01,0.000706765953140789
"554",1989-02-01,0.000774554983276666
"555",1989-03-01,0.000906271498052175
"556",1989-04-01,0.00120869811610089
"557",1989-05-01,0.00215714869122037
"558",1989-06-01,0.00462648672085385
"559",1989-07-01,0.0137237264390023
"560",1989-08-01,0.0189197166397045
"561",1989-09-01,0.0206897253423903
"562",1989-10-01,0.0218473754312337
"563",1989-11-01,0.0232716096624218
"564",1989-12-01,0.0325972305772636
"565",1990-01-01,0.0584159018986988
"566",1990-02-01,0.0943821303960774
"567",1990-03-01,0.184542915507831
"568",1990-04-01,0.20552932671369
"569",1990-05-01,0.233497458011129
"570",1990-06-01,0.265948190489967
"571",1990-07-01,0.294737902832156
"572",1990-08-01,0.33994433989978
"573",1990-09-01,0.393238251184764
"574",1990-10-01,0.423479767130438
"575",1990-11-01,0.44965348292428
"576",1990-12-01,0.470681145061256
"577",1991-01-01,0.506916650470094
"578",1991-02-01,0.643735676252957
"579",1991-03-01,0.714819051582218
"580",1991-04-01,0.754209107362322
"581",1991-05-01,0.775361668151847
"582",1991-06-01,0.799581694013612
"583",1991-07-01,0.820298828308011
"584",1991-08-01,0.830970215016182
"585",1991-09-01,0.845648671338708
"586",1991-10-01,0.85707174168057
"587",1991-11-01,0.860405046086677
"588",1991-12-01,0.865991109675459
"589",1992-01-01,0.892340141926549
"590",1992-02-01,0.911561929967951
"591",1992-03-01,0.930701216147119
"592",1992-04-01,0.942676590622272
"593",1992-05-01,0.949021212999932
"594",1992-06-01,0.95646242262979
"595",1992-07-01,0.972997170852587
"596",1992-08-01,0.987559895396145
"597",1992-09-01,0.997769500847644
"598",1992-10-01,1.01040030678388
"599",1992-11-01,1.01505707856333
"600",1992-12-01,1.01793662272715
"601",1993-01-01,1.02641025149413
"602",1993-02-01,1.03390760822468
"603",1993-03-01,1.04168111702187
"604",1993-04-01,1.0525702169776
"605",1993-05-01,1.06611198097601
"606",1993-06-01,1.07378007072701
"607",1993-07-01,1.07723483620807
"608",1993-08-01,1.07740671508773
"609",1993-09-01,1.0862859780107
"610",1993-10-01,1.09242663745117
"611",1993-11-01,1.09305113071392
"612",1993-12-01,1.0929078983142
"613",1994-01-01,1.09400792314399
"614",1994-02-01,1.09396896393127
"615",1994-03-01,1.09549410252341
"616",1994-04-01,1.09816051687646
"617",1994-05-01,1.10196706113121
"618",1994-06-01,1.10623194906505
"619",1994-07-01,1.11644499209414
"620",1994-08-01,1.11874816908151
"621",1994-09-01,1.12640480024054
"622",1994-10-01,1.13001425671329
"623",1994-11-01,1.13256952272416
"624",1994-12-01,1.13503197414002
"625",1995-01-01,1.14917416835802
"626",1995-02-01,1.14914323015968
"627",1995-03-01,1.14397998861485
"628",1995-04-01,1.14921198171154
"629",1995-05-01,1.14945375800226
"630",1995-06-01,1.14708641289981
"631",1995-07-01,1.15173974710167
"632",1995-08-01,1.14894957995527
"633",1995-09-01,1.15083795591308
"634",1995-10-01,1.15475106507322
"635",1995-11-01,1.15211329720012
"636",1995-12-01,1.15328092772257
"637",1996-01-01,1.15673798492203
"638",1996-02-01,1.15297956675358
"639",1996-03-01,1.14675869716927
"640",1996-04-01,1.14677703091643
"641",1996-05-01,1.14575377865289
"642",1996-06-01,1.14578357099203
"643",1996-07-01,1.15199641956195
"644",1996-08-01,1.15110379524694
"645",1996-09-01,1.15319384242355
"646",1996-10-01,1.15900678613347
"647",1996-11-01,1.15720664133389
"648",1996-12-01,1.15390771270371
"649",1997-01-01,1.15929668851049
"650",1997-02-01,1.16375408078954
"651",1997-03-01,1.15801790964586
"652",1997-04-01,1.15419073992554
"653",1997-05-01,1.15323280163627
