year,month,cierre
2010,02,3.9221849
2010,03,3.8938379
2010,04,3.8718121
2010,05,3.912894
2010,06,3.9919901
2010,07,3.93787
2010,08,3.911674
2010,09,3.9388528
2010,10,3.9261875
2010,11,3.9419563
2010,12,4.0030632
2011,01,4.0386877
2011,02,4.1620479
2011,03,4.2103124
2011,04,4.2041597
2011,05,4.3534451
2011,06,4.3060851
2011,07,4.2267985
2011,08,4.3438129
2011,09,4.5864801
2011,10,4.7072005
2011,11,4.6709633
2011,12,4.6596074
2012,01,4.6730514
2012,02,4.7612877
2012,03,4.9272361
2012,04,5.3987446
2012,05,5.8975043
2012,06,6.463706
2012,07,6.7823405
2012,08,6.4775701
2012,09,6.4089446
2012,10,6.3861642
2012,11,6.8496661
2012,12,6.621233
2013,01,7.2428436
2013,02,7.7753558
2013,03,8.2683125
2013,04,8.7742777
2013,05,8.8384743
2013,06,8.0762205
2013,07,8.2197971
2013,08,8.4947615
2013,09,9.0366669
2013,10,9.1381817
2013,11,9.1183338
2013,12,8.5269117
2014,01,10.09939
2014,02,11.033158
2014,03,10.23
2014,04,9.7484207
2014,05,10.3695
2014,06,10.459
2014,07,10.040455
2014,08,11.451
2014,09,13.616667
2014,10,13.691363
2014,11,12.400588
2014,12,11.621111
2015,01,12.19381
2015,02,12.111112
2015,03,11.9025
2015,04,11.975
2015,05,11.877894
2015,06,12.065
2015,07,13.308095
2015,08,13.5005
2015,09,13.927143
2015,10,13.896191
2015,11,14.352777
2015,12,14.528889
2016,01,13.991579
2016,02,15.005
2016,03,15.084762
2016,04,14.512857
2016,05,14.129
2016,06,14.263
2016,07,15.029473
2016,08,14.935
2016,09,15.155714
2016,10,15.243
2016,11,15.393684
2016,12,15.972222
2017,01,15.972
2017,02,15.687058
2017,03,15.586364
2017,04,15.506111
2017,05,15.7025
2017,06,16.126667
2017,07,17.223
2017,08,17.505455
2017,09,17.297001
2017,10,17.511906
2017,11,17.541578
2017,12,17.698948
2018,01,19.066668
2018,02,19.911177
2018,03,20.290001
2018,04,20.245789
2018,05,23.701
2018,06,26.642
2018,07,27.6875
2018,08,29.924999
2018,09,38.585789
2018,10,37.382381
2018,11,36.401001
2018,12,37.988388
2019,01,37.496773
2019,02,38.446785
2019,03,41.295807
2019,04,43.465
2019,05,44.987419
2019,06,43.866669
2019,07,42.559677
2019,08,52.541615
2019,09,65.837669
2019,10,71.954193
2019,11,76.607666
2019,12,74.704193
2020,01,80.309357
2020,02,82.946548
2020,03,86.634193
2020,04,101.994
2020,05,116.61129
2020,06,110.31966
2020,07,114.00291
2020,08,127.57516
2020,09,133.83
2020,10,158.67999
2020,11,148.00334
2020,12,142.50742
2021,01,146.5542
2021,02,148.14037
2021,03,148.00999
2021,04,151.25966
2021,05,160.31355
2021,06,165.02533
2021,07,167.02226
2021,08,169.18129
2021,09,172.18767
2021,10,177.76485
2021,11,181.073
