Y,P,RGC,NGS
475642.4247,95.40074225,52525.18097,6384.224795
470200.8392,99.04800551,52920.58247,7018.702706
493619.482,101.5193542,54498.77241,6520.681783
500998.0347,103.8717235,55730.61861,8581.71092
515549.1742,103.4645074,57647.63965,6947.698752
526354.7145,104.1438614,58820.06089,8342.092386
529839.7904,114.6730317,59803.96893,7498.365539
540480.091,119.3780224,60659.2099,8708.995251
554648.5397,120.8912447,60447.36025,8254.172185
561234.9425,118.5502644,60855.50682,9640.183391
576819.3741,129.542939,61589.33727,9513.755667
589494.7606,133.1658432,62858.48148,11581.25069
603280.283,134.2449456,65272.60351,12846.10001
616335.9014,134.0531904,66072.62017,14790.73821
624449.9586,149.748606,66121.92741,14174.92811
643703.8676,158.989508,67525.26927,17707.23189
649632.2173,167.3946484,68316.58712,16462.9686
653489.3024,170.6317157,69482.96042,19388.30043
658334.7324,182.9260229,70252.13051,18177.69237
627248.3869,190.4921422,70230.32013,22715.50697
604341.0883,192.256786,70634.81279,21077.20874
591270.9082,198.2682486,72046.02234,24144.59471
614141.4068,207.9759955,74899.80846,23003.50645
625738.1024,220.7678923,76380.46972,30672.63762
644704.0935,231.9883796,75694.40422,26871.22041
673929.6973,229.793681,77558.16505,31033.11296
677075.9452,256.1950867,76647.74879,30290.96136
686384.9817,273.7430945,80088.07142,40439.39972
702780.7743,285.1810638,79674.36239,34627.77985
709613.9482,291.9258296,81077.73078,43723.75965
715012.1509,316.3385221,81792.6622,40639.35394
715719.5156,332.7866645,81594.32368,51885.09683
707932.1624,348.685661,82323.21089,49068.66922
683661.595,362.7475662,82915.21144,60908.77254
705126.9551,384.5024871,83986.77416,56218.72734
717223.2453,403.1597401,84668.18703,70132.27371
716977.204,426.6788662,86884.58554,62675.66378
720928.7232,436.2999825,87303.94002,80172.23526
725463.7166,476.3329326,87818.74657,76934.58393
718258.7774,520.7910363,89657.87863,94141.38768
707438.2793,583.7948263,90772.39733,85034.24656
703280.521,618.2977317,89376.94874,107101.4352
697512.667,678.1936786,90457.67425,102414.2314
700992.7165,729.6568322,91414.7761,129363.9689
711244.8526,756.9966805,94621.08676,122172.6879
727974.8174,752.1749661,97395.6143,157473.4159
727441.7281,866.1969976,97916.93392,153068.4021
719287.1884,931.1229328,97234.21794,184525.0073
712656.1058,1033.959041,96471.37221,175496.367
701431.6161,1106.154883,94053.03766,221186.6341
703614.603,1228.088139,96823.60567,207254.6891
708209.0695,1293.154922,97789.62315,267681.1727
714382.4288,1356.071422,97876.20811,250868.5548
721803.2848,1356.395885,98814.47433,305515.0369
730647.4117,1541.548666,99100.72652,288172.8936
738726.6657,1618.20593,99502.78912,356096.8531
735865.9596,1761.255892,98093.40969,332486.2753
701416.8779,1930.806475,97703.82604,385931.9007
700700.9153,2194.54689,96411.93796,367366.2136
691526.0192,2477.513217,95608.39317,457670.6522
691325.4247,2652.184665,96613.80054,416206.7797
694370.619,2859.053892,96590.81166,542477.1915
698890.7781,3318.306494,96678.73797,530495.9092
687598.943,3781.355116,93267.82724,735260.4495
657901.8437,3982.264623,96359.75178,690520.1351
556121.1901,3971.668853,88986.75593,791711.593
627739.3179,4532.854336,91022.61231,736948.2918
656108.1776,5093.43997,94120.72432,929473.9359
674394.7162,5709.417232,95630.49525,883309.1217
665002.558,6495.517367,96110.89264,1129362.092
